"role","variable","label","retained","max_abs_correlation","vif_after_screening","note"
"SDM suitability model","temperature_mean","Mean ocean temperature",TRUE,0.918336700187698,1.44931924155191,"retained"
"SDM suitability model","temperature_range","Ocean temperature range",TRUE,0.549026740277108,1.5307114114278,"retained"
"SDM suitability model","salinity_mean","Mean salinity",FALSE,0.701208073066341,NA,"removed: VIF > 5"
"SDM suitability model","salinity_range","Salinity range",TRUE,0.647146716053826,1.43646848042852,"retained"
"SDM suitability model","oxygen_mean","Mean dissolved oxygen",FALSE,0.918336700187698,NA,"removed: VIF > 5"
"SDM suitability model","ph_mean","Mean pH",TRUE,0.582825724750616,2.14272077193602,"retained"
"SDM suitability model","chlorophyll_mean","Mean chlorophyll",TRUE,0.582825724750616,1.63056742910175,"retained"
"SDM suitability model","sea_water_speed_mean","Mean sea water speed",TRUE,0.656947046519659,1.85229277966344,"retained"
"SDM suitability model","sea_water_speed_range","Sea water speed range",TRUE,0.656947046519659,1.79907779594396,"retained"
"climniche exposure calculation","temperature_mean","Mean ocean temperature",TRUE,0.918336700187698,1.44931924155191,"retained"
"climniche exposure calculation","temperature_range","Ocean temperature range",TRUE,0.549026740277108,1.5307114114278,"retained"
"climniche exposure calculation","salinity_mean","Mean salinity",FALSE,0.701208073066341,NA,"removed: VIF > 5"
"climniche exposure calculation","salinity_range","Salinity range",TRUE,0.647146716053826,1.43646848042852,"retained"
"climniche exposure calculation","oxygen_mean","Mean dissolved oxygen",FALSE,0.918336700187698,NA,"removed: VIF > 5"
"climniche exposure calculation","ph_mean","Mean pH",TRUE,0.582825724750616,2.14272077193602,"retained"
"climniche exposure calculation","chlorophyll_mean","Mean chlorophyll",TRUE,0.582825724750616,1.63056742910175,"retained"
"climniche exposure calculation","sea_water_speed_mean","Mean sea water speed",TRUE,0.656947046519659,1.85229277966344,"retained"
"climniche exposure calculation","sea_water_speed_range","Sea water speed range",TRUE,0.656947046519659,1.79907779594396,"retained"
